God;Predmet;av_ball;good_rez;rez_100;count_all;count_mbpv;min_mbpv;bad_rez;min_ball
2023;Русский язык;68,43;26%;2883;623000;;;;
2023;Математика профиль;55,62;;233;282000;;;;
2023;Математика база;4;33%;337000;;;;;
2023;Обществознание;56,4;12%;389;270000;;;;
2023;Физика;54,85;;190;89000;;;;
2023;История;57,9;14%;275;90000;;;;
2023;Биология;50,3;6%;73;105000;;;;
2023;Химия;56,23;18%;794;74000;;;;
2023;География;54,6;6,70%;70;13000;;;;
2023;Информатика и ИКТ;;14%;361;113000;;;;
2023;Литература;63,97;25%;1896;44000;;;;
2023;Английский язык;;;205;80000;;;;
2023;Немецкий язык;;;2;823;;;;
2023;Французский язык;;;3;526;;;;
2023;Испанский язык;;;0;121;;;;
2023;Китайский язык;;;0;152;;;;
2022;Русский язык;68,3;21,60%;2364;647000;;;;
2022;Математика профиль;56,9;;579;302000;79,50%;39;;
2022;Математика база;4;;;343000;;;;
2022;Обществознание;59,88;;346;276000;82,20%;45;;
2022;Физика;54,11;;;100000;94%;39;;
2022;История;57,95;;638;90000;;;;
2022;Биология;50,16;5%;60;109000;;;;
2022;Химия;54,3;15,60%;664;77000;;;;
2022;География;54,6;;34;13000;;;;
2022;Информатика и ИКТ;59,47;20%;308;101000;;;;
2022;Литература;60,8;18,80%;1072;42500;;;;
2022;Английский язык;73,27;40%;164;87000;;;;
2022;Немецкий язык;;;2500;;;;;
2021;Русский язык;71,4;28,90%;3591;654000;;;0,4;
2021;Математика профиль;55,1;8,50%;504;366000;;;7,6;
2021;Обществознание;56,4;9,50%;318;307000;;;18;
2021;Физика;55,1;9,80%;430;128000;;;6,5;
2021;История;54,9;11%;366;100000;;;7,4;
2021;Биология;51,1;5%;62;127000;;;18,6;
2021;Химия;53,8;12,40%;543;93000;;;;
2021;Информатика и ИКТ;62,8;;;;;;;
2021;Литература;66;21%;1355;48000;;;3,29;
2021;География;59;10,50%;120;14500;;;5,35;
2020;Русский язык;71,6;;3948;614000;;;1,14;
2020;Математика профиль;54,2;6,60%;;362000;;;8,9;
2020;Обществознание;56,3;9,90%;404;292701;;;19;
2020;Физика;54,5;8,50%;302;139574;;;5,7;
2020;История;56,4;13,90%;614;102330;;;7,5;
2020;Биология;51,5;;;;;;18,5;
2020;Химия;54,4;14%;833;81695;;;;
2020;Английский язык;70,9;;;;;;;
2020;Информатика и ИКТ;61,19;19,60%;533;83610;;;10,36;
2020;Литература;66,3;20,50%;1154;46755;;;3,38;
2020;География;60,1;11,70%;107;11841;;;4,9;
2019;Русский язык;69,5;23,50%;2590;664000;;;0,60%;24
2019;Математика профиль;56,5;7,10%;;362600;;;6,70%;27
2019;Математика база;4,1;;;312000;;;;3
2019;Обществознание;54,9;7,80%;;315200;;;;42
2019;Физика;54,4;8,60%;;139500;;;;36
2019;История;55,3;9,40%;;103300;;;6,90%;32
2019;Биология;52,2;5,60%;;123800;;;;36
2019;Химия;56,7;11,50%;;89000;;;14,40%;36
2019;Английский язык;73,8;42,70%;;74300;;;;22
2019;Информатика и ИКТ;62,4;21,70%;;80056;;;;40
2019;Литература;63,4;15,90%;;51132;;;4%;32
2019;География;57,2;7,40%;;17794;;;6%;37
2019;Немецкий язык;72,4;42,10%;;1250;;;;22
2019;Французский язык;73,1;39,30%;;800;;;;22
2019;Испанский язык;72,2;45,50%;;132;;;;22
2019;Китайский язык;62,5;29,20%;1;75;;;;22
2018;Русский язык;70,93;26,70%;3722;645500;;;0,40%;24
2018;Математика профиль;49,8;;145;421000;;;7%;27
2018;Математика база;4,29;;;567000;;;3,10%;3
2018;Обществознание;55,7;;;368000;;;16,43%;42
2018;Физика;53,2;;;171500;;;;36
2018;История;55,1;7,4;206;112000;;;9,60%;32
2018;Биология;51,7;;45;140000;;;17,01%;36
2018;Химия;55,1;;634;84500;;;15,88%;36
2018;Английский язык;69,2;;15;83500;;;;22
2018;Информатика и ИКТ;58,4;13%;254;67000;;;11,51%;40
2018;Литература;62,7;;599;42500;;;;32
2018;География;56,6;;64;16000;;;7,30%;37
2018;Немецкий язык;68,9;;3;1758;;;;22
2018;Французский язык;77,3;;2;948;;;;22
2018;Испанский язык;79,1;;;153;;;;22
2017;Русский язык;69,1;25,04%;3099;617000;;;0,50%;24
2017;Математика профиль;47,1;4,51%;224;391981;;;14,34%;27
2017;Математика база;4,24;;;453000;;;3,40%;3
2017;Обществознание;55,4;4,46%;142;318000;;;13,80%;42
2017;Физика;53,2;4,94%;278;155281;;;3,78%;36
2017;История;52,7;;;110000;;;8,70%;32
2017;Биология;52,6;6,54%;75;111748;;;18%;36
2017;Химия;55,2;;;74000;;;15%;36
2017;Английский язык;70,2;;59;64422;;;;22
2017;Информатика и ИКТ;59,2;;;53000;;;9,30%;40
2017;Литература;59,6;;343;41267;;;2,90%;32
2017;География;55,1;8,60%;;14000;;;9,30%;37
2017;Немецкий язык;63,8;24,56%;0;1769;;;3,36%;22
2017;Французский язык;75,9;50,81%;0;1123;;;0,43%;22
2017;Испанский язык;68,4;38,04%;0;231;;;6,75%;22
2016;Русский язык;68;25,58%;3433;658000;;;1%;
2016;Математика профиль;46,2;2,69%;296;439229;;;15,33%;
2016;Математика база;4,15;;;453000;;;4,60%;3
2016;Обществознание;53,1;3,11%;59;382000;;;17,60%;42
2016;Физика;50;;;180000;;;6,11%;36
2016;История;;;;;;;16%;32
2016;Биология;52;7,16%;61;126006;;;18,60%;36
2016;Химия;;;;84000;;;;
2016;Английский язык;69,78;;27;64050;;;;
2016;Информатика;56,6;;;;;;12,40%;40
2016;Литература;57,91;;256;43585;;;4,30%;32
2016;География;;;;;;;13%;37
2016;Немецкий язык;66,76;32,77%;1;1980;;;3,29%;
2016;Французский язык;73,62;42,31%;6;1273;;;1,25%;
2016;Испанский язык;74,59;49,65%;2;204;;;2,80%;
2015;Математика профиль;45,6;;;521151;;;;
2015;Математика база;3,95;;;;;;7,40%;
2015;Обществознание;58,6;;;371200;;;;
2015;Физика;51,4;;;159500;;;;
2015;История;47,1;;;145000;;;;
2015;Биология;53,6;;;122936;;;;
2015;Химия;57,1;;;;;;;
2015;Английский язык;64,9;;;61946;;;;
2015;Информатика и ИКТ;54;;;;;;;
2015;Литература;57,1;;;37512;;;5,30%;32
2015;География;53;;;;;;;
2015;Немецкий язык;;;;;;;;
2015;Французский язык;;;;;;;;
2015;Испанский язык;;;;;;;;
2014;Русский язык;62,5;;2385;;;;4%;
2014;Математика;46,4;;;;;;;
2014;Обществознание;53,1;;;;;;;
2014;Физика;45,7;;;;;;16,70%;
2014;История;46,4;;;;;;20,40%;
2014;Биология;54,8;;;;;;;
2014;Химия;55,7;;;;;;13,40%;
2014;Английский язык;61,3;;;;;;;
2014;Информатика и ИКТ;57,2;;;;;;11,50%;
2014;Литература;54,1;;;;;;;
2014;География;53,1;;;;;;15,50%;
2014;Немецкий язык;;;;;;;;
2014;Французский язык;;;;;;;;
2014;Испанский язык;;;;;;;;
2013;Русский язык;63,9;;2531;834020;;;1,9;
2013;Математика;48,7;;538;803741;;;6,2;
2013;Обществознание;59,5;;84;481990;;;5,1;
2013;Физика;53,5;;474;208875;;;11;
2013;История;54,8;;500;164219;;;11;
2013;Биология;58,6;;466;162248;;;7,1;
2013;Химия;67,8;;3220;93802;;;7,3;
2013;Английский язык;72,4;;581;74668;;;3,3;
2013;Информатика;63,1;;563;58851;;;8,6;
2013;Литература;58,4;;457;44420;;;5,6;
2013;География;57,2;;193;20736;;;12,1;
2013;Немецкий язык;58,6;;4;2768;;;3,2;
2013;Французский язык;69,5;;5;1561;;;0,5;
2013;Испанский язык;68,9;;0;233;;;1,7;
2012;Русский язык;61,5;;1923;827529;;;2,20%;36
2012;Математика;45,2;;54;803913;;;5,50%;24
2012;Обществознание;55,5;;84;455942;;;5,80%;39
2012;Физика;47,3;;44;205988;;;13,50%;36
2012;История;52,1;;219;153502;;;12,40%;32
2012;Биология;54,3;;46;159448;;;8,10%;36
2012;Химия;57,8;;370;89529;;;10,80%;36
2012;Английский язык;61,2;;28;71825;;;3,30%;20
2012;Информатика;60,7;;364;59646;;;11,60%;40
2012;Литература;57,7;;337;42102;;;4,90%;32
2012;География;56,1;;66;23523;;;8,40%;37
2012;Немецкий язык;58;;1;2970;;;3,20%;
2012;Французский язык;67,1;;0;1621;;;0,70%;
2012;Испанский язык;70,4;;1;265;;;0,80%;
2011;Русский язык;60,02;;1437;760618;;;4,10%;
2011;Математика;47,49;;205;738746;;;4,90%;
2011;Обществознание;57,11;;23;280254;;;3,90%;
2011;Физика;51,54;;206;173574;;;7,40%;
2011;История;51,2;;208;129354;;;9,40%;
2011;Биология;54,29;;53;144045;;;7,80%;
2011;Химия;57,75;;331;77806;;;8,60%;
2011;Английский язык;61,19;;11;60651;;;3,10%;
2011;Информатика;59,74;;31;51180;;;9,80%;
2011;Литература;57,15;;355;39317;;;5%;
2011;География;54,4;;25;10946;;;8%;
2011;Немецкий язык;48,99;;2;2746;;;6,60%;
2011;Французский язык;62,97;;0;1317;;;1,20%;
2011;Испанский язык;70,09;;0;143;;;1,40%;
2010;Русский язык;;;1415;901929;;;3,70%;
2010;Математика;;;160;854708;;;6,10%;
2010;Обществознание;;;34;444219;;;3,90%;
2010;Физика;;;114;213186;;;5%;
2010;История;;;222;180900;;;9%;
2010;Биология;;;133;171257;;;6,10%;
2010;Химия;;;275;83544;;;6,20%;
2010;Английский язык;;;2;73853;;;5%;
2010;Информатика;;;90;62652;;;7,20%;
2010;Литература;;;422;54313;;;5%;
2010;География;;;17;22256;;;6,30%;
2010;Немецкий язык;;;0;4177;;;12%;
2010;Французский язык;;;0;1883;;;1%;
